NumberOfTrips,PRCP,SNWD,SNOW,Temp,Holiday,Weekday
9,0,0,0,29,0,1
9,0.07,0,0,35,0,0
9,0,0,0,67.5,0,1
9,0,0,0,70.5,0,1
9,0.3,0,0,66,0,0
9,0,0,0,30.5,0,1
9,0,0,0,62,0,0
9,1.58,0,0,74.5,0,1
9,0.36,0,0,78.5,0,1
9,0.07,0,0,56.5,0,1
9,0,0,0,25,0,1
9,0.05,0,0,58.5,0,1
9,0,0,0,71.5,0,1
9,0,0,0,73,0,1
9,0,0,0,77,0,1
9,0,0,0,39,0,1
9,0,0,0,67,0,1
9,0,9.1,0,25,0,0
9,0,0,0,59.5,0,0
10,0,0,0,71.5,0,0
10,0.01,0,0,66.5,0,1
10,0.09,0,0,60.5,0,1
10,0.02,0,0,82.5,0,1
10,0.07,0,0,66.5,0,1
10,0,0,0,75,0,0
10,0,0,0,78,0,0
10,0.1,7.9,1.2,26,0,0
10,0,0,0,30,0,1
10,0,0,0,52,0,1
10,0,0,0,68.5,0,1
10,0,0,0,63,0,1
10,0,0,0,72,0,0
10,0.01,0,0,72,0,0
10,0.12,0,0,81.5,0,1
10,0,0,0,58.5,0,1
10,0,0,0,60.5,0,1
10,0,0,0,38.5,0,1
10,0.15,0,0,52,0,1
10,0.01,0,0,60,0,1
10,0.08,0,0,39,0,1
10,0.46,11,0,46,0,1
10,0,11,0,21,0,0
10,0,0,0,52,0,1
10,0.87,0,0,68.5,0,1
10,0,0,0,24,0,1
10,0,0,0,38.5,0,0
10,0.09,0,0,60,0,1
10,0,0,0,63,0,1
10,0,0,0,44,0,1
10,0.08,0,0,77.5,0,1
10,0,0,0,36,0,1
10,0,0,0,48.5,0,0
10,0,0,0,45,0,1
10,0,11.8,0,14,0,1
10,1.17,0,0,76,0,1
10,0,0,0,45,0,1
10,0.04,0,0,59,0,1
10,0.67,14.2,1.8,29.5,0,1
10,0,0,0,52,0,1
10,0.37,0,0,70,0,0
10,0,0,0,78.5,0,0
10,0,18.9,0,19.5,0,1
10,0.43,0,0,79,0,1
10,0,0,0,56,0,0
10,0.08,0,0,62.5,0,0
10,0.04,0,0,67.5,0,1
10,0,0,0,35,0,1
10,0,0,0,74,0,1
10,0,0,0,61,0,0
10,0.39,0,0,75.5,0,1
10,0,0,0,47.5,0,1
10,0,0,0,74.5,0,1
10,0.52,0,0,48,0,1
10,0,0,0,68,0,1
10,0,0,0,63,0,1
10,0,0,0,53,0,0
